id,buyer_company_id,brand_company_id,vendor_company_id,status,brand
1,58,88,25,Active,GAP
2,58,89,25,Active,GO
3,58,90,25,Active,Old Navy
4,58,91,25,Active,BRFS
5,59,59,25,Active,Target
6,61,93,23,Active,Walmart
7,62,97,23,Active,A&F
8,62,98,23,Active,Hollister
10,63,99,24,Active,Amazon Essentials
11,66,101,24,Active,8seconds
12,67,67,24,Active,?†ÏÑ∏Í≥ÑÏù∏?∞ÎÑ§?îÎÑê
13,68,102,24,Active,Renoma
14,105,105,25,Active,K-mart
15,79,106,23,Active,Dicks
16,80,80,24,Active,ÏΩ∞Ïù¥?¥Ìã∞?§Ìä∏
17,59,77,25,Active,Target AU
18,67,108,24,Active,PAUL SMITH
19,81,109,24,Active,NOFLIK
20,82,82,24,Active,PREP
21,81,110,24,Active,SANOPICK
22,83,83,24,Active,FIBRENO
23,67,111,24,Active,ZAVANAS
24,84,84,23,Active,"Aeropostale, Inc."
25,86,112,23,Active,Lands End
26,87,113,23,Active,XERSION
27,86,114,23,Active,ALYNED
30,106,106,23,Active,Dicks
31,112,112,23,Active,Lands End
